Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.4949999999999997,Denial of Service,ACS712,0.699,699
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.725,Denial of Service,ACS712,0.745,745
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.135,Denial of Service,ACS712,0.627,627
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.265,Denial of Service,ACS712,0.653,653
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.1,Denial of Service,ACS712,0.62,620
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9699999999999998,Denial of Service,ACS712,0.594,594
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.365,Denial of Service,ACS712,0.673,673
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.725,Denial of Service,ACS712,0.745,745
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9699999999999998,Denial of Service,ACS712,0.594,594
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.725,Denial of Service,ACS712,0.745,745
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.96,Denial of Service,ACS712,0.792,792
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.8600000000000003,Denial of Service,ACS712,0.772,772
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.365,Denial of Service,ACS712,0.673,673
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.5599999999999996,Denial of Service,ACS712,0.712,712
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.43,Denial of Service,ACS712,0.686,686
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.5949999999999998,Denial of Service,ACS712,0.719,719
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.1,Denial of Service,ACS712,0.62,620
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.23,Denial of Service,ACS712,0.646,646
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.23,Denial of Service,ACS712,0.646,646
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.465,Denial of Service,ACS712,0.693,693
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.365,Denial of Service,ACS712,0.673,673
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.98,Denial of Service,ACS712,0.396,396
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.705,Denial of Service,ACS712,0.541,541
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.53,Denial of Service,ACS712,0.706,706
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.2,Denial of Service,ACS712,0.64,640
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.265,Denial of Service,ACS712,0.653,653
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.5599999999999996,Denial of Service,ACS712,0.712,712
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
