Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,-0.396,Denial of Service,ACS712,-0.033,-33
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,2.7720000000000002,Denial of Service,ACS712,0.231,231
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.02,Denial of Service,ACS712,0.085,85
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,0.792,Denial of Service,ACS712,0.066,66
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,0.948,Denial of Service,ACS712,0.079,79
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.7399999999999998,Denial of Service,ACS712,0.145,145
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.8119999999999998,Denial of Service,ACS712,0.151,151
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.344,Denial of Service,ACS712,0.112,112
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,0.624,Denial of Service,ACS712,0.052,52
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,0.948,Denial of Service,ACS712,0.079,79
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,2.3760000000000003,Denial of Service,ACS712,0.198,198
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,0.156,Denial of Service,ACS712,0.013,13
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.6560000000000001,Denial of Service,ACS712,0.138,138
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,0.312,Denial of Service,ACS712,0.026,26
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.416,Denial of Service,ACS712,0.118,118
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.8119999999999998,Denial of Service,ACS712,0.151,151
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,2.844,Denial of Service,ACS712,0.237,237
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,1.7399999999999998,Denial of Service,ACS712,0.145,145
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,2.448,Denial of Service,ACS712,0.204,204
Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,0.396,Denial of Service,ACS712,0.033,33
