Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,GPU Power (W)
T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,1,Idle,50.0,10.0,1.0,19.0,Cryptojacking,System,10.0
T-Rex (GPU),Windows 11 i7 GeForce RTX 4060 Laptop,1,Attack,67.5,100.0,98.5,75.0,Cryptojacking,System,42.5
