Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Power (W),Attack Type,Measurement,Timestamp,Memory Usage (Mo)
Rex,Windows 10 VM,1,Idle,50.7,14,13,2.3,Ransomware,Prometheus,00:00:00.000,190
Rex,Windows 10 VM,1,Attack,73.9,99,72,4.9,Ransomware,Prometheus,00:05:00.000,812
Rex,Windows 10 VM,1,Recovery,55.2,22,16,2.6,Ransomware,Prometheus,00:10:00.000,211
