Study,Host,Base (W),Attack (W),Variation (%)
R01,L05,2.75,3.4,23.64
R02,H05,2.2,4.4,100.0
R02,L06,2.0,4.2,110.0
R03,H05,2.1,4.6,119.05
R03,L06,2.0,4.4,120.0
R04,L05,3.18,3.45,8.49
R05,L05,3.26,3.86,18.4
R05,L05,4.49,5.81,29.4
R06,H05,2.3,4.9,113.04
R06,L06,2.1,4.6,119.05
R07,H05,2.3,5.1,121.74
R07,L06,2.2,4.8,118.18
R08,H05,2.2,4.8,118.18
R08,L06,2.1,4.5,114.29
