Study,Host,Base (%),Attack (%),Variation (%)
C07 (GPU),H04,2.4,77.5,3129.17
C08 (GPU),H04,2.4,86.22,3492.5
C09 (GPU),H04,2.4,51.52,2046.67
C10 (GPU),H04,2.4,79.85,3227.08
C11 (GPU),H04,2.4,77.25,3118.75
C12 (GPU),H04,2.4,74.65,3010.42
C13 (GPU),H04,2.4,45.79,1807.92
C14 (GPU),H03,2.0,7.93,296.5
C15 (GPU),H04,2.4,70.51,2837.92
