Study,Host,Base (%),Attack (%),Variation (%)
D01 (HTTP),L06,0.36,25.16,6888.89
D02 (HTTP),L06,0.16,1.34,737.5
D04 (HTTP),L06,0.31,0.26,-16.13
D05 (ICMP),L06,0.16,43.71,27218.75
D06 (TCP),L06,0.22,40.21,18177.27
D07 (UDP),L06,0.17,43.1,25252.94
D08 (HTTP),L07,24.62,33.45,35.87
D09 (HTTP),L05,1.3,5.63,333.08
D09 (HTTP),L05,1.64,0.56,-65.85
D09 (HTTP),L05,0.14,0.53,278.57
