Study,Host,Base (%),Attack (%),Variation (%)
D01 (HTTP),L06,6.19,19.97,222.62
D02 (HTTP),L06,5.43,5.83,7.37
D04 (HTTP),L06,5.9,6.3,6.78
D05 (ICMP),L06,7.41,8.08,9.04
D06 (TCP),L06,27.54,28.4,3.12
D07 (UDP),L06,7.53,8.33,10.62
D08 (HTTP),L07,2.64,2.73,3.41
D09 (HTTP),L05,19.29,19.5,1.09
D09 (HTTP),L05,22.11,22.02,-0.41
D09 (HTTP),L05,21.51,21.82,1.44
