Study,Host,Base (°C),Attack (°C),Variation (%)
D01 (HTTP),L06,42.94,45.22,5.31
D04 (HTTP),L06,40.72,41.34,1.52
D08 (HTTP),L07,44.17,49.37,11.77
D09 (HTTP),L05,55.79,56.37,1.04
D09 (HTTP),L05,55.37,55.06,-0.56
D09 (HTTP),L05,54.82,54.84,0.04
