Study,Host,Base (%),Attack (%),Variation (%)
R01,L05,0.38,19.13,4934.21
R02,H05,12.0,93.0,675.0
R02,L06,11.0,92.0,736.36
R03,H05,12.0,97.0,708.33
R03,L06,11.0,94.0,754.55
R04,L05,0.35,1.22,248.57
R05,L05,0.32,23.38,7206.25
R05,L05,0.26,25.13,9565.38
R06,H05,14.0,99.0,607.14
R06,L06,12.0,94.0,683.33
R07,H05,15.0,96.0,540.0
R07,L06,12.0,96.0,700.0
R08,H05,13.0,98.0,653.85
R08,L06,13.0,95.0,630.77
