Study,Host,Base (°C),Attack (°C),Variation (%)
C07 (GPU),H04,4.26,57.35,1246.24
C08 (GPU),H04,5.01,62.81,1153.69
C09 (GPU),H04,4.11,42.92,944.28
C10 (GPU),H04,2.27,53.83,2271.37
C11 (GPU),H04,12.69,63.53,400.63
C12 (GPU),H04,33.92,49.04,44.58
C13 (GPU),H04,2.72,62.98,2215.44
C14 (GPU),H03,0.1,57.8,57700.0
C15 (GPU),H04,28.56,46.55,62.99
