Study,Host,Base (%),Attack (%),Variation (%)
R01,L05,20.25,20.33,0.4
R02,H05,11.0,68.0,518.18
R02,L06,10.0,66.0,560.0
R03,H05,11.0,69.0,527.27
R03,L06,10.0,67.0,570.0
R04,L05,20.21,20.2,-0.05
R05,L05,21.33,21.48,0.7
R05,L05,21.66,22.36,3.23
R06,H05,13.0,72.0,453.85
R06,L06,11.0,70.0,536.36
R07,H05,13.0,74.0,469.23
R07,L06,12.0,71.0,491.67
R08,H05,12.0,71.0,491.67
R08,L06,11.0,69.0,527.27
