Study,Host,Base (°C),Attack (°C),Variation (%)
R01,L05,54.72,55.64,1.68
R02,H05,49.8,70.5,41.57
R02,L06,48.4,70.1,44.83
R03,H05,48.9,71.8,46.83
R03,L06,48.1,70.2,45.95
R04,L05,57.62,58.15,0.92
R05,L05,59.51,65.42,9.93
R05,L05,59.63,66.28,11.15
R06,H05,50.7,73.9,45.76
R06,L06,49.6,72.5,46.17
R07,H05,50.1,75.4,50.5
R07,L06,49.2,73.3,48.98
R08,H05,49.3,72.6,47.26
R08,L06,48.7,71.4,46.61
