Study,Host,Base (%),Attack (%),Variation (%)
C07 (GPU),H04,0.1,40.53,40430.0
C08 (GPU),H04,21.67,92.13,325.15
C09 (GPU),H04,0.1,0.36,260.0
C10 (GPU),H04,0.1,80.48,80380.0
C11 (GPU),H04,0.14,92.49,65964.29
C12 (GPU),H04,0.1,87.15,87050.0
C13 (GPU),H04,0.1,91.91,91810.0
C14 (GPU),H03,0.1,47.65,47550.0
C14 (GPU),H06,1.0,98.5,9750.0
C15 (GPU),H04,0.1,89.78,89680.0
