Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Power (W),Attack Type,Measurement,Timestamp,Memory Usage (Mo)
Rex,Raspberry Pi 4B 4GB,1,Idle,49.6,12,11,2.1,Ransomware,Prometheus,00:00:00.000,181
Rex,Raspberry Pi 4B 4GB,1,Attack,72.5,94,70,4.6,Ransomware,Prometheus,00:05:00.000,790
Rex,Raspberry Pi 4B 4GB,1,Recovery,53.9,21,15,2.4,Ransomware,Prometheus,00:10:00.000,205
