Attack,Host,Run,Mode,Power (W),Attack Type,Measurement
Hping3 (SYN),D-Link DIR-822,1,Idle,2.9,Denial of Service,Kuman KW47
Hping3 (SYN),D-Link DIR-822,1,Attack,4.4,Denial of Service,Kuman KW47
