Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),GPU Temperature (°C),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,15.9,77.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:19.000,0.4,75.0,76.0,74.0,74.0,11.9
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,23.3,81.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:21.000,0.3,78.0,81.0,79.0,79.0,19.0
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,19.8,75.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:23.000,0.0,74.0,74.0,71.0,73.0,16.1
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,22.6,79.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:25.000,0.0,79.0,78.0,78.0,74.0,18.7
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,22.0,77.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:27.000,1.4,75.0,77.0,75.0,76.0,16.6
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,17.6,75.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:29.000,0.0,74.0,74.0,73.0,73.0,14.0
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,19.3,78.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:31.000,0.0,78.0,76.0,77.0,77.0,15.7
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,20.6,80.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:33.000,0.0,79.0,80.0,78.0,77.0,16.9
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,22.1,80.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:35.000,0.0,78.0,80.0,80.0,78.0,18.4
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,13.6,76.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:37.000,0.0,75.0,76.0,73.0,74.0,9.9
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,21.2,80.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:39.000,0.0,79.0,80.0,76.0,75.0,17.5
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,19.5,78.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:41.000,0.0,73.0,75.0,73.0,78.0,15.8
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,20.5,80.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:43.000,0.0,79.0,78.0,78.0,79.0,16.9
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,14.2,74.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:45.000,0.0,73.0,74.0,72.0,74.0,10.6
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,20.5,80.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:47.000,0.0,79.0,80.0,79.0,78.0,16.8
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,15.8,78.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:49.000,0.0,78.0,75.0,74.0,72.0,12.3
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,17.9,74.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:51.000,0.0,73.0,74.0,72.0,73.0,14.2
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,20.1,78.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:53.000,0.0,74.0,76.0,75.0,73.0,16.4
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,19.9,79.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:55.000,0.0,77.0,78.0,77.0,77.0,16.2
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,13.3,74.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:57.000,0.0,74.0,74.0,72.0,73.0,9.6
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,18.9,75.0,0.0,Cryptojacking,Open Hardware Monitor,05:26:59.000,0.0,73.0,74.0,72.0,73.0,15.2
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,21.0,78.0,0.0,Cryptojacking,Open Hardware Monitor,05:27:01.000,0.0,76.0,77.0,73.0,73.0,17.2
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,18.3,79.0,0.0,Cryptojacking,Open Hardware Monitor,05:27:03.000,0.0,75.0,75.0,74.0,74.0,14.6
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,19.0,80.0,0.0,Cryptojacking,Open Hardware Monitor,05:27:05.000,0.0,75.0,77.0,76.0,75.0,15.3
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,13.0,76.0,0.0,Cryptojacking,Open Hardware Monitor,05:27:07.000,0.0,75.0,76.0,73.0,74.0,9.4
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,21.8,81.0,0.0,Cryptojacking,Open Hardware Monitor,05:27:09.000,0.0,79.0,82.0,76.0,74.0,18.0
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,13.6,77.0,0.0,Cryptojacking,Open Hardware Monitor,05:27:11.000,0.0,76.0,77.0,75.0,73.0,9.9
CoinIMP (CPU) (40%),ASUS Zenbook UX51VZ,1,Attack,16.5,80.0,0.0,Cryptojacking,Open Hardware Monitor,05:27:14.000,0.0,75.0,79.0,77.0,79.0,12.8
