Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),GPU Temperature (°C),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,29.3,74.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:40.000,0.8,72.0,74.0,70.0,71.0,24.3
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,22.5,73.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:42.000,0.5,73.0,74.0,70.0,72.0,18.1
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,23.6,71.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:44.000,0.5,68.0,71.0,68.0,69.0,19.1
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,24.3,75.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:46.000,0.2,72.0,75.0,71.0,72.0,20.1
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,24.1,75.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:48.000,0.0,73.0,75.0,72.0,72.0,20.2
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,20.0,71.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:50.000,0.0,68.0,70.0,67.0,68.0,16.2
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,20.7,74.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:52.000,0.0,73.0,74.0,72.0,72.0,16.9
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,23.9,72.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:54.000,0.3,71.0,72.0,69.0,70.0,19.6
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,21.8,77.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:56.000,0.0,74.0,77.0,69.0,73.0,17.9
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,19.8,76.0,0.0,Cryptojacking,Open Hardware Monitor,04:52:58.000,0.0,73.0,76.0,74.0,72.0,16.0
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,18.2,75.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:00.000,0.0,71.0,73.0,73.0,74.0,14.6
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,22.6,73.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:02.000,0.0,69.0,72.0,69.0,73.0,18.6
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,20.5,72.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:04.000,0.0,69.0,69.0,67.0,68.0,16.7
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,22.2,74.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:06.000,0.0,70.0,71.0,67.0,70.0,18.4
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,24.0,77.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:08.000,0.0,76.0,77.0,72.0,73.0,20.0
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,22.4,77.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:10.000,0.0,75.0,77.0,74.0,74.0,18.5
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,21.0,78.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:12.000,0.0,76.0,78.0,75.0,75.0,17.1
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,27.9,77.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:14.000,0.0,73.0,75.0,75.0,72.0,23.9
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,23.2,77.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:16.000,0.0,71.0,72.0,77.0,71.0,19.3
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,24.3,76.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:18.000,0.0,76.0,75.0,74.0,72.0,20.3
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,24.2,77.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:20.000,0.0,76.0,77.0,75.0,75.0,20.2
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,18.7,75.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:22.000,0.0,75.0,75.0,74.0,74.0,14.9
CoinIMP (CPU) (50%),ASUS Zenbook UX51VZ,1,Attack,17.4,76.0,0.0,Cryptojacking,Open Hardware Monitor,04:53:24.000,0.0,77.0,73.0,71.0,70.0,13.7
