Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),GPU Temperature (°C),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,15.2,76.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:32.000,0.6,75.0,78.0,74.0,75.0,10.9
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,11.7,76.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:34.000,0.0,76.0,74.0,71.0,74.0,8.2
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.0,80.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:36.000,0.0,80.0,75.0,79.0,79.0,12.5
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,14.3,75.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:38.000,0.0,75.0,75.0,73.0,73.0,10.8
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.7,80.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:40.000,0.0,79.0,80.0,79.0,80.0,13.1
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.6,76.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:42.000,0.0,75.0,75.0,75.0,76.0,13.0
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,13.6,78.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:44.000,0.0,75.0,74.0,73.0,74.0,10.2
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,14.3,78.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:46.000,0.0,77.0,78.0,78.0,77.0,10.9
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,14.6,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:48.000,0.0,75.0,74.0,74.0,74.0,11.1
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,15.8,79.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:50.000,0.0,75.0,79.0,79.0,78.0,12.3
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,18.0,79.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:52.000,0.0,75.0,80.0,75.0,79.0,14.4
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.7,75.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:54.000,0.0,75.0,74.0,73.0,75.0,13.1
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,18.3,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:56.000,0.0,75.0,77.0,76.0,77.0,14.6
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,14.8,78.0,0.0,Cryptojacking,Open Hardware Monitor,03:01:58.000,0.0,74.0,75.0,73.0,74.0,11.3
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.3,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:00.000,0.0,77.0,75.0,76.0,76.0,12.8
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,17.5,80.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:02.000,0.0,77.0,78.0,79.0,80.0,13.9
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.8,80.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:04.000,0.0,75.0,79.0,80.0,78.0,13.3
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,16.8,78.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:06.000,0.0,73.0,74.0,76.0,73.0,13.2
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,14.8,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:08.000,0.0,74.0,76.0,73.0,74.0,11.3
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,14.7,74.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:10.000,0.0,74.0,74.0,73.0,72.0,11.2
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,15.6,75.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:12.000,0.0,74.0,75.0,73.0,73.0,12.1
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,18.4,76.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:14.000,0.0,74.0,75.0,72.0,73.0,14.8
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,15.1,78.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:16.000,0.0,78.0,78.0,78.0,78.0,11.6
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,17.7,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:18.000,0.0,75.0,76.0,73.0,75.0,14.1
CoinIMP (CPU) (30%),ASUS Zenbook UX51VZ,1,Attack,17.8,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:02:20.000,0.1,75.0,76.0,74.0,74.0,14.2
