Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),GPU Temperature (°C),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,15.3,53.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:23.000,0.2,49.0,53.0,48.0,48.0,12.2
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,4.0,46.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:26.000,0.0,46.0,46.0,46.0,46.0,1.6
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,4.2,46.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:29.000,0.0,46.0,46.0,46.0,46.0,1.7
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.6,43.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:32.000,0.0,43.0,43.0,43.0,43.0,1.2
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,4.2,46.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:35.000,0.0,46.0,46.0,45.0,46.0,1.8
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.9,44.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:38.000,0.0,44.0,44.0,44.0,44.0,1.5
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,4.0,42.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:41.000,0.0,42.0,42.0,42.0,42.0,1.6
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,5.8,45.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:44.000,0.0,45.0,45.0,45.0,45.0,3.3
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.6,40.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:47.000,0.0,40.0,40.0,40.0,40.0,1.2
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.5,44.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:50.000,0.0,44.0,44.0,44.0,44.0,1.1
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.7,45.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:53.000,0.0,45.0,43.0,45.0,45.0,1.3
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.4,39.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:56.000,0.0,39.0,39.0,39.0,39.0,1.1
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,4.6,46.0,0.0,Cryptojacking,Open Hardware Monitor,09:22:59.000,0.0,46.0,46.0,46.0,46.0,2.2
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.8,41.0,0.0,Cryptojacking,Open Hardware Monitor,09:23:02.000,0.0,41.0,41.0,41.0,41.0,1.4
CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,1,Idle,3.8,44.0,0.0,Cryptojacking,Open Hardware Monitor,09:23:05.000,0.0,44.0,44.0,44.0,44.0,1.4
