Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.65676,Denial of Service,System,03:33:00.566
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65731,Denial of Service,System,03:33:01.796
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,30.0,2.65541,Denial of Service,System,03:33:03.026
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,14.3,2.65111,Denial of Service,System,03:33:04.255
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,33.3,2.64926,Denial of Service,System,03:33:05.494
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65536,Denial of Service,System,03:33:06.738
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,30.0,2.65296,Denial of Service,System,03:33:07.967
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65396,Denial of Service,System,03:33:09.196
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,30.0,2.64896,Denial of Service,System,03:33:10.424
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65526,Denial of Service,System,03:33:11.653
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65081,Denial of Service,System,03:33:12.893
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65526,Denial of Service,System,03:33:14.134
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6228,Denial of Service,System,03:33:15.363
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,37.5,2.62465,Denial of Service,System,03:33:16.595
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,22.2,2.6309,Denial of Service,System,03:33:17.836
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.6222,Denial of Service,System,03:33:19.071
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,14.3,2.62905,Denial of Service,System,03:33:20.296
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,33.3,2.6323,Denial of Service,System,03:33:21.526
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.6323,Denial of Service,System,03:33:22.758
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,25.0,2.63025,Denial of Service,System,03:33:23.988
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.6258,Denial of Service,System,03:33:25.221
