Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp,Relative Time (s),Current (A),Voltage (V)
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.38,Ransomware,ACS712,00:00:48.200,48.2,0.48,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.4,Ransomware,ACS712,00:00:49.310,49.31,0.48,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.52,Ransomware,ACS712,00:00:50.410,50.41,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.71,Ransomware,ACS712,00:00:51.510,51.51,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.89,Ransomware,ACS712,00:00:52.610,52.61,0.58,2.39
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.58,Ransomware,ACS712,00:00:53.710,53.71,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.68,Ransomware,ACS712,00:00:54.810,54.81,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.58,Ransomware,ACS712,00:00:55.920,55.92,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.69,Ransomware,ACS712,00:00:57.020,57.02,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.95,Ransomware,ACS712,00:00:58.120,58.12,0.59,2.39
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.64,Ransomware,ACS712,00:00:59.220,59.22,0.53,2.4
Bstry,Raspberry Pi 4B 2GB,1,Attack,2.55,Ransomware,ACS712,00:01:00.320,60.32,0.51,2.41
Bstry,Raspberry Pi 4B 2GB,1,Attack,4.0,Ransomware,ACS712,00:01:01.430,61.43,0.8,2.35
Bstry,Raspberry Pi 4B 2GB,1,Attack,3.74,Ransomware,ACS712,00:01:02.530,62.53,0.75,2.36
Bstry,Raspberry Pi 4B 2GB,1,Attack,3.88,Ransomware,ACS712,00:01:03.630,63.63,0.78,2.36
Bstry,Raspberry Pi 4B 2GB,1,Attack,3.51,Ransomware,ACS712,00:01:04.730,64.73,0.7,2.37
Bstry,Raspberry Pi 4B 2GB,1,Attack,3.91,Ransomware,ACS712,00:01:05.830,65.83,0.78,2.36
Bstry,Raspberry Pi 4B 2GB,1,Attack,2.96,Ransomware,ACS712,00:01:06.930,66.93,0.59,2.39
Bstry,Raspberry Pi 4B 2GB,1,Attack,3.08,Ransomware,ACS712,00:01:08.040,68.04,0.62,2.39
Bstry,Raspberry Pi 4B 2GB,1,Attack,2.95,Ransomware,ACS712,00:01:09.140,69.14,0.59,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.95,Ransomware,ACS712,00:01:10.240,70.24,0.59,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.09,Ransomware,ACS712,00:01:11.340,71.34,0.62,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.92,Ransomware,ACS712,00:01:12.440,72.44,0.58,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.83,Ransomware,ACS712,00:01:13.550,73.55,0.57,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.58,Ransomware,ACS712,00:01:14.650,74.65,0.52,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.52,Ransomware,ACS712,00:01:15.740,75.74,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.69,Ransomware,ACS712,00:01:16.850,76.85,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.0,Ransomware,ACS712,00:01:17.950,77.95,0.6,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.76,Ransomware,ACS712,00:01:19.050,79.05,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.72,Ransomware,ACS712,00:01:20.150,80.15,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.73,Ransomware,ACS712,00:01:21.250,81.25,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.14,Ransomware,ACS712,00:01:22.350,82.35,0.63,2.38
Bstry,Raspberry Pi 4B 2GB,1,Recovery,3.04,Ransomware,ACS712,00:01:23.460,83.46,0.61,2.39
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.5,Ransomware,ACS712,00:01:24.560,84.56,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.67,Ransomware,ACS712,00:01:25.660,85.66,0.53,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.73,Ransomware,ACS712,00:01:26.760,86.76,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.69,Ransomware,ACS712,00:01:27.860,87.86,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Recovery,2.52,Ransomware,ACS712,00:01:28.970,88.97,0.5,2.41
