Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Attack Type,Measurement
CoinIMP (CPU) (100%),Apple M1 Pro,1,Idle,37.0,12.0,Cryptojacking,System
CoinIMP (CPU) (100%),Apple M1 Pro,1,Attack,59.0,100.0,Cryptojacking,System
