Attack,Host,Run,Mode,CPU Usage (%),Memory Usage (%),Attack Type,Measurement
XMRig (CPU),Raspberry Pi 4B 4GB,1,Idle,0.1,5.86,Cryptojacking,System
XMRig (CPU),Raspberry Pi 4B 4GB,1,Attack,100.0,29.73,Cryptojacking,System
