Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,1.945,Denial of Service,ACS712,0.389,389
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,3.23,Denial of Service,ACS712,0.646,646
