Attack,Host,Run,Mode,Power (W),Attack Type,Measurement
Hping3 (SYN),HOSAFE HX-2PT1,1,Idle,3.51,Denial of Service,ACS712
Hping3 (SYN),HOSAFE HX-2PT1,1,Attack,3.6,Denial of Service,ACS712
