Attack,Host,Run,Mode,CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Disk mmcblk1 Block Size (Ko),Disk mmcblk1 Read (Ko/s),Disk mmcblk1 Transfers,Disk mmcblk1 Usage (%),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p1 Transfers,Disk mmcblk1p1 Usage (%),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1p2 Transfers,Disk mmcblk1p2 Usage (%),Disk mmcblk1p2 Write (Ko/s),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Usage (Mo),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo)
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:53:00.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:53:01.000,100.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,8.0,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,27.540135192226444,Denial of Service,nmon,17:53:02.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,27.540135192226444,Denial of Service,nmon,17:53:03.000,99.8,0.0,0.0,0.2,20.0,0.0,2.0,0.0,39.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,1.0,39.8,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:53:04.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,27.540135192226444,Denial of Service,nmon,17:53:05.000,99.8,0.0,0.0,0.2,7.7,0.0,14.0,2.0,107.8,0.0,0.0,0.0,0.0,0.0,7.7,0.0,14.0,2.0,107.8,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.8,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:53:06.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,27.540135192226444,Denial of Service,nmon,17:53:07.000,99.8,0.2,0.0,0.0,8.0,0.0,4.0,1.0,31.9,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,31.9,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:53:08.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:53:09.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.5,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0,1,0.0,0.0
