Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,3.33,Denial of Service,ACS712,0.666,666
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.845,Denial of Service,ACS712,0.369,369
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.7449999999999999,Denial of Service,ACS712,0.349,349
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.145,Denial of Service,ACS712,0.429,429
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.98,Denial of Service,ACS712,0.396,396
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.45,Denial of Service,ACS712,0.29,290
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.0100000000000002,Denial of Service,ACS712,0.402,402
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,1.58,Denial of Service,ACS712,0.316,316
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
