Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Power (W),Attack Type,Measurement,Timestamp,Memory Usage (Mo)
Jigsaw,Windows 10 VM,1,Idle,49.8,12,11,2.2,Ransomware,Prometheus,00:00:00.000,179
Jigsaw,Windows 10 VM,1,Attack,70.5,93,68,4.4,Ransomware,Prometheus,00:05:00.000,755
Jigsaw,Windows 10 VM,1,Recovery,53.3,20,15,2.3,Ransomware,Prometheus,00:10:00.000,207
