Attack,Host,Run,Mode,Power (W),Attack Type,Measurement
Hping3 (SYN),Huawei H151-381,1,Idle,1.64,Denial of Service,ACS712
Hping3 (SYN),Huawei H151-381,1,Attack,2.02,Denial of Service,ACS712
