Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Power (W),Attack Type,Measurement,Timestamp,Memory Usage (Mo)
WannaCry,Raspberry Pi 4B 4GB,1,Idle,48.7,13,11,2.1,Ransomware,Prometheus,00:00:00.000,180
WannaCry,Raspberry Pi 4B 4GB,1,Attack,71.4,95,69,4.5,Ransomware,Prometheus,00:05:00.000,782
WannaCry,Raspberry Pi 4B 4GB,1,Recovery,53.5,20,15,2.4,Ransomware,Prometheus,00:10:00.000,202
