Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement
XMRig (CPU),Raspberry Pi 4B 2GB,1,Idle,43.8,0.5,8.33,Cryptojacking,System
XMRig (CPU),Raspberry Pi 4B 2GB,1,Attack,81.3,100.0,23.44,Cryptojacking,System
