Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.3,58.0,7.2,2.4,0.0,0.0,56.5,Cryptojacking,Open Hardware Monitor,08:00:56.000,0.0,55.0,52.0,50.0,50.0,11.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.2,62.0,5.6,2.4,0.0,0.0,56.4,Cryptojacking,Open Hardware Monitor,08:00:58.000,0.1,49.0,51.0,50.0,48.0,12.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.3,58.0,7.1,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:00.000,0.0,51.0,58.0,49.0,51.0,11.3
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.1,62.0,5.9,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:02.000,0.0,62.0,50.0,53.0,49.0,11.3
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.4,58.0,5.9,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:04.000,0.1,58.0,51.0,50.0,50.0,11.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.0,60.0,5.9,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:06.000,0.1,47.0,55.0,49.0,60.0,11.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,56.0,5.7,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:08.000,0.0,56.0,52.0,50.0,52.0,11.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.5,59.0,6.1,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:10.000,0.1,62.0,51.0,53.0,50.0,10.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.3,61.0,5.9,2.4,0.0,0.0,56.2,Cryptojacking,Open Hardware Monitor,08:01:12.000,0.0,62.0,51.0,53.0,50.0,11.3
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.2,60.0,5.9,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:14.000,0.0,61.0,51.0,53.0,49.0,11.3
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,55.0,8.3,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:16.000,0.0,49.0,50.0,51.0,49.0,12.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.6,58.0,6.1,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:18.000,0.1,58.0,51.0,53.0,50.0,10.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.6,60.0,6.9,2.4,0.0,0.0,56.4,Cryptojacking,Open Hardware Monitor,08:01:20.000,0.0,50.0,58.0,49.0,52.0,10.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.2,62.0,6.0,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:22.000,0.1,49.0,52.0,49.0,52.0,11.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.4,60.0,5.3,2.4,0.0,0.0,56.3,Cryptojacking,Open Hardware Monitor,08:01:24.000,0.1,49.0,53.0,49.0,60.0,11.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.5,59.0,5.8,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:26.000,0.0,49.0,50.0,49.0,59.0,11.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.7,57.0,5.5,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:28.000,0.0,47.0,51.0,48.0,57.0,11.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,59.0,6.5,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:01:30.000,0.1,48.0,50.0,51.0,48.0,11.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.4,56.0,7.1,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:01:32.000,0.0,49.0,50.0,49.0,57.0,12.5
