Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Power (W),Attack Type,Measurement,Timestamp,Memory Usage (Mo)
WannaCry,Windows 10 VM,1,Idle,49.3,13,12,2.2,Ransomware,Prometheus,00:00:00.000,183
WannaCry,Windows 10 VM,1,Attack,72.6,98,71,4.8,Ransomware,Prometheus,00:05:00.000,794
WannaCry,Windows 10 VM,1,Recovery,53.8,21,16,2.5,Ransomware,Prometheus,00:10:00.000,208
