Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,Relative Time (s),Memory Usage (Mo),Network (Ko/s)
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.5,Denial of Service,System,00:00:00.000,0.0,619.82,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.6,Denial of Service,System,00:00:01.010,1.01,620.14,0.23046875
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.6,Denial of Service,System,00:00:02.010,2.01,620.14,0.06640625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,56.0,0.0,21.6,Denial of Service,System,00:00:03.020,3.02,620.14,1.4140625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,56.0,0.0,21.6,Denial of Service,System,00:00:04.020,4.02,620.13,0.318359375
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.6,Denial of Service,System,00:00:05.020,5.02,620.13,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,56.0,0.0,21.6,Denial of Service,System,00:00:06.030,6.03,620.13,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.6,Denial of Service,System,00:00:07.040,7.04,621.0,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.5,21.5,Denial of Service,System,00:00:08.050,8.05,620.3,0.169921875
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,2.5,21.5,Denial of Service,System,00:00:09.060,9.06,620.44,16.2998046875
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,56.0,0.0,21.5,Denial of Service,System,00:00:10.070,10.07,620.54,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.5,21.5,Denial of Service,System,00:00:11.080,11.08,620.54,0.791015625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.5,Denial of Service,System,00:00:12.090,12.09,620.54,1.826171875
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:13.100,13.1,620.54,0.162109375
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.0,0.0,21.5,Denial of Service,System,00:00:14.110,14.11,620.76,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:15.120,15.12,620.76,0.078125
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:16.130,16.13,620.75,1.4140625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:17.130,17.13,620.74,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:18.140,18.14,620.74,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:19.150,19.15,620.74,0.1640625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:20.160,20.16,620.74,0.1787109375
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.5,Denial of Service,System,00:00:21.170,21.17,620.98,0.076171875
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.5,Denial of Service,System,00:00:22.180,22.18,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:23.190,23.19,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:24.200,24.2,620.98,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.5,21.5,Denial of Service,System,00:00:25.210,25.21,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:26.220,26.22,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:27.230,27.23,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,56.0,0.5,21.5,Denial of Service,System,00:00:28.240,28.24,620.98,0.115234375
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.0,0.0,21.5,Denial of Service,System,00:00:29.250,29.25,620.98,1.501953125
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.5,21.5,Denial of Service,System,00:00:30.260,30.26,620.98,0.1328125
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.5,Denial of Service,System,00:00:31.270,31.27,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:32.270,32.27,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.5,0.0,21.5,Denial of Service,System,00:00:33.280,33.28,620.98,0.13671875
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:34.290,34.29,620.98,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:35.300,35.3,620.98,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:36.310,36.31,620.97,0.0703125
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.5,21.5,Denial of Service,System,00:00:37.320,37.32,620.97,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:38.330,38.33,621.11,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:39.340,39.34,621.13,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,55.0,0.0,21.5,Denial of Service,System,00:00:40.350,40.35,621.13,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,3,Idle,54.5,0.0,21.5,Denial of Service,System,00:00:41.360,41.36,621.14,1.4140625
