Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,Relative Time (s),Memory Usage (Mo),Network (Ko/s)
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,56.0,0.0,22.1,Denial of Service,System,00:00:00.000,0.0,632.71,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,22.1,Denial of Service,System,00:00:01.010,1.01,632.7,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,22.1,Denial of Service,System,00:00:02.010,2.01,632.7,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,22.1,Denial of Service,System,00:00:03.010,3.01,632.7,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,56.4,0.5,22.1,Denial of Service,System,00:00:04.020,4.02,632.7,0.3046875
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,56.0,0.0,22.1,Denial of Service,System,00:00:05.020,5.02,632.7,0.318359375
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,56.0,0.0,22.1,Denial of Service,System,00:00:06.030,6.03,632.7,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,54.5,0.5,22.1,Denial of Service,System,00:00:07.040,7.04,632.7,11.021484375
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,22.1,Denial of Service,System,00:00:08.050,8.05,632.7,0.23046875
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,56.0,0.0,22.1,Denial of Service,System,00:00:09.060,9.06,632.7,0.791015625
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,22.1,Denial of Service,System,00:00:10.070,10.07,632.7,1.798828125
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,54.5,0.5,22.1,Denial of Service,System,00:00:11.080,11.08,632.7,0.115234375
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,22.1,Denial of Service,System,00:00:12.090,12.09,632.7,1.4921875
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,22.1,Denial of Service,System,00:00:13.100,13.1,632.64,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,21.9,Denial of Service,System,00:00:14.110,14.11,631.94,0.162109375
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,21.9,Denial of Service,System,00:00:15.120,15.12,631.94,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.5,21.9,Denial of Service,System,00:00:16.130,16.13,631.93,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,21.9,Denial of Service,System,00:00:17.140,17.14,631.93,0.23046875
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,21.9,Denial of Service,System,00:00:18.150,18.15,631.93,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.5,21.9,Denial of Service,System,00:00:19.150,19.15,631.93,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,21.9,Denial of Service,System,00:00:20.160,20.16,631.93,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,54.5,0.0,21.9,Denial of Service,System,00:00:21.170,21.17,631.93,0.1689453125
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,21.9,Denial of Service,System,00:00:22.180,22.18,631.93,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.5,21.9,Denial of Service,System,00:00:23.190,23.19,632.18,0.267578125
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,54.5,0.0,21.9,Denial of Service,System,00:00:24.200,24.2,632.18,1.64453125
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.5,21.9,Denial of Service,System,00:00:25.210,25.21,632.18,0.3896484375
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,21.9,Denial of Service,System,00:00:26.220,26.22,632.18,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,21.9,Denial of Service,System,00:00:27.230,27.23,632.33,0.23046875
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,54.5,0.0,21.9,Denial of Service,System,00:00:28.240,28.24,632.39,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,56.4,0.0,21.9,Denial of Service,System,00:00:29.250,29.25,632.39,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,21.9,Denial of Service,System,00:00:30.260,30.26,632.39,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,21.9,Denial of Service,System,00:00:31.270,31.27,632.39,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.0,0.0,21.9,Denial of Service,System,00:00:32.270,32.27,632.39,0.037109375
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,55.5,0.0,21.9,Denial of Service,System,00:00:33.280,33.28,632.39,0.0703125
Slowloris (HTTP),Raspberry Pi 4B 2GB,2,Idle,54.0,0.0,21.9,Denial of Service,System,00:00:34.290,34.29,632.39,0.0
