Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Power (W),Attack Type,Measurement,Timestamp,Memory Usage (Mo)
Petya,Raspberry Pi 4B 4GB,1,Idle,48.1,11,10,2.0,Ransomware,Prometheus,00:00:00.000,175
Petya,Raspberry Pi 4B 4GB,1,Attack,70.2,94,67,4.4,Ransomware,Prometheus,00:05:00.000,771
Petya,Raspberry Pi 4B 4GB,1,Recovery,52.9,19,14,2.3,Ransomware,Prometheus,00:10:00.000,198
